"dpi.f","primary_treatment","CV","SD","PV","elisa_od","lower_ci_pv","upper_ci_pv","lower_ci_cv","upper_ci_cv","lower_ci_v2","upper_ci_v2","n_individuals"
"-8","Sham",0.0534146473413114,0.00246404090561441,0.0509128971368961,0.0461304347826087,0.036612608801424,0.0666016897956855,0.0346081706524043,0.070951760785102,0.00116906420680473,0.00502716491415079,46
"-8","Low",0.0728968695095261,0.00341185936312233,0.0731051570547502,0.0468039215686274,0.0563732713958044,0.0859210791432655,0.0568283986291148,0.084753916536508,0.00315416723191878,0.00711322153052518,51
"-8","High",0.0631870841669317,0.00292925784524814,0.0633864144873643,0.0463584905660377,0.0486655528022029,0.0759001353361957,0.0476483295049488,0.0759086439474662,0.00228676093621925,0.00572549506691107,53
"14","Sham",0.0302508011679442,0.00133765261414503,0.0325350899306766,0.04421875,0.0248419980600913,0.0383344449263806,0.0230909321818528,0.035211167492539,0.000552156330815999,0.00121296876093981,32
"14","Low",0.414157294342204,0.0251062151830244,0.264510034353566,0.06062,0.21032121721442,0.308447095019024,0.266020828041084,0.536290991450772,0.0708447550205024,0.217674306839328,50
"14","High",0.324666594839034,0.0307881944464336,0.265977073341693,0.0948301886792453,0.220569697632937,0.299600188577467,0.265630138221192,0.3729123852634,0.0622876173587637,0.120336927603136,53
"41","Sham",0.0710085356694676,0.00320001509658275,0.0591735364332195,0.0450652173913043,0.0410998084143657,0.0820178958236404,0.037699810615958,0.097328522227763,0.00140815987809651,0.00995136192892664,46
"41","Low",0.152690552132076,0.00734746936859549,0.125677986271262,0.04812,0.0904833422312864,0.15496869520847,0.107758088579518,0.191104134080004,0.0107201521186979,0.0345085951658147,50
"41","High",0.260564583843796,0.015029168543594,0.18708483283115,0.0576792452830189,0.142960683426545,0.228268229181649,0.163719551974212,0.337010566139171,0.0279639488874912,0.103954956786159,53
