"dpi.f","primary_treatment","mean_bird_cv","mean_bird_sd","mean_bird_pv","avg_elisa_od","lower_ci_pv","upper_ci_pv","n_individuals"
"-8","Sham",0.0576293721966719,0.0026743630535018,0.0540367194531329,0.04640625,0.0358781787289982,0.0724224890302095,32
"-8","Low",0.0726912552411349,0.00341203851131858,0.0732780892671399,0.0469387755102041,0.0556288057122934,0.0860518843846085,49
"-8","High",0.0631870841669317,0.00292925784524814,0.0633864144873643,0.0463584905660377,0.0481673327127421,0.0755192019331232,53
"14","Sham",0.0302508011679442,0.00133765261414503,0.0325350899306766,0.04421875,0.0238022471569031,0.038358774670094,32
"14","Low",0.418575869120285,0.0252085181586523,0.261771110627673,0.0602244897959184,0.201471610644073,0.306024967815852,49
"14","High",0.324666594839034,0.0307881944464336,0.265977073341693,0.0948301886792453,0.216036691378685,0.299502293577223,53
"41","Sham",0.0722129419871883,0.00325635235273477,0.0580581920977539,0.04509375,0.0357738624519612,0.0843238238383275,32
"41","Low",0.154264600418469,0.00742359036299492,0.126784467300781,0.0481224489795918,0.0900490916759077,0.154800028115781,49
"41","High",0.260564583843796,0.015029168543594,0.18708483283115,0.0576792452830189,0.140146705394443,0.22666664729338,53
