"dpi.f","primary_treatment","CV","V2","PV","quantity1","lower_ci_pv","upper_ci_pv","lower_ci_cv","upper_ci_cv","lower_ci_v2","upper_ci_v2","n_individuals"
"-8","Sham",0.361733624903753,0.115710372510272,0.123309034838342,1.15034033167391,0.041304518462574,0.201318362122838,0.182382108834586,0.440276626331807,0.0415917107789724,0.160624633181302,46
"-8","Low",0.571246421971569,0.246035546302542,0.0751518740907648,1.138461064,0,0.152633497478882,0,0.807766425177878,0,0.3948513703982,51
"-8","High",0.0716243038065554,0.00510385789604085,0.0130171882786747,1.00993610973585,0,0.0375495815731001,0,0.119300392265127,0,0.0140328597452178,53
"7","Sham",1.7112068322671,0.745432344929485,0.403536425041172,3.81649880267391,0.257897438614605,0.509541469191082,1.34365301105871,2.02562576661774,0.645064328026971,0.804634334369331,46
"7","Low",2.87446768129804,0.892038537997895,0.765671223270526,9799.89338948292,0.65944267878597,0.821123236743448,2.05642688795248,3.96814420345952,0.810475223053753,0.940817273208811,51
"7","High",0.923994617620305,0.460557604790209,0.570496379900151,86674.4688854257,0.475863672282279,0.638055068081123,0.699219724635742,1.081811172052,0.330540257918864,0.544644919068468,53
"41","Sham",2.3093077727211,0.842094518665997,0.100594106473966,1.95437990936957,0,0.223690408523841,0,2.47004315951442,0,0.859177009231324,46
"41","Low",3.62695321272113,0.929352535237505,0.369242723926318,7.74418353642,0.220260212615886,0.506610996826677,1.68310631555329,4.41682638001752,0.745220145071632,0.952868029099079,50
"41","High",3.59621365880409,0.928226674011659,0.620832037451376,21.2600208324528,0.551969376562908,0.663940084111955,1.28551188359414,4.56470975624235,0.625417320732312,0.953189121433426,53
