"dpi.f","primary_treatment","CV","SD","V2","PV","tes.new","lower_ci_pv","upper_ci_pv","lower_ci_cv","upper_ci_cv","lower_ci_v2","upper_ci_v2","n_individuals"
"-8","Sham",0,0,0,0,0.01,0,0,0,0,0,0,46
"-8","Low",0,0,0,0,0.01,0,0,0,0,0,0,51
"-8","High",0,0,0,0,0.01,0,0,0,0,0,0,53
"7","Sham",0,0,0,0,0.01,0,0,0,0,0,0,46
"7","Low",2.62116972542359,0.283189121315372,0.872943765246384,0.242413232821713,0.108039215686275,0.110726643598616,0.377824699906228,1.88428044876625,3.82122649053355,0.780146792656697,0.9334804095457,51
"7","High",1.12597231246141,1.39216916293578,0.559046661222615,0.6711963717607,1.23641509433962,0.622841698142997,0.678413345743066,0.912989089128717,1.3546885915465,0.462916308828561,0.651501863717149,53
"14","Sham",0,0,0,0,0.01,0,0,0,0,0,0,32
"14","Low",1.70948892154989,0.666700679404459,0.745050952864752,0.515408369853716,0.39,0.365843877339745,0.597358236420071,1.30149202062616,2.22217064922291,0.637624280876628,0.827155885598162,50
"14","High",1.0798953480408,1.79364504694399,0.538356559902392,0.669554802967201,1.66094339622642,0.602002787287013,0.688194149257006,0.887918222883814,1.28365703540915,0.449293496037656,0.627986521173753,53
"21","Sham",0,0,0,0,0.01,0,0,0,0,0,0,46
"21","Low",3.11010023214514,0.640924577251872,0.906303203272243,0.215887984969536,0.206078431372549,0.0761169542559793,0.358419356056949,2.20862128920076,4.72137994156442,0.834524411795242,0.957205410650505,51
"21","High",1.70309389826969,1.43092021301791,0.743624507207506,0.588238294778029,0.840188679245283,0.472396466879657,0.651087546415262,1.34774721471357,2.16963164814214,0.648896278530468,0.824045376931752,53
"28","Sham",0,0,0,0,0.01,0,0,0,0,0,0,46
"28","Low",5.32942420040512,0.210042012604202,0.965989590041594,0.0389559797428905,0.0394117647058823,0,0.112193221659525,0,5.32942420040512,0,0.965989590041594,51
"28","High",4.65645320311348,0.354066158651836,0.955913258588676,0.108442407835291,0.0760377358490566,0,0.235915667419398,0,6.00669132778921,0,0.973031531509038,53
"35","Sham",0,0,0,0,0.01,0,0,0,0,0,0,46
"35","Low",0,0,0,0,0.01,0,0,0,0,0,0,51
"35","High",3.5340339268352,0.0686802819743445,0.925867695253268,0.0369959304476507,0.0194339622641509,0,0.106719030137454,0,3.5340339268352,0,0.925867695253268,53
"41","Sham",0,0,0,0,0.01,0,0,0,0,0,0,46
"41","Low",0,0,0,0,0.01,0,0,0,0,0,0,50
"41","High",0,0,0,0,0.01,0,0,0,0,0,0,53
