"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.07692935919903,0.00921241318381567,-333.998193286051,0
"primary_treatmentLow",0.0134913246016963,0.0127021876544028,1.06212606590015,0.28817845826938
"primary_treatmentHigh",0.00442096077653458,0.0125873838300427,0.351221575207944,0.725422125221956
"dpi.f14",-0.0440498923823649,0.0486435154895612,-0.905565560774857,0.365165844200958
"dpi.f41",-0.0216339754487167,0.0231370581781325,-0.935035702558056,0.349769900325592
"primary_treatmentLow:dpi.f14",0.300206544782175,0.0623508109864075,4.81479775535911,1.47349045257248e-06
"primary_treatmentHigh:dpi.f14",0.755389034130561,0.0616432171232867,12.2542117264869,1.5949265345433e-34
"primary_treatmentLow:dpi.f41",0.0489607767652867,0.032053338918144,1.52747821031437,0.126642141468568
"primary_treatmentHigh:dpi.f41",0.236901060417193,0.0316298976164468,7.48978271412457,6.89877290382419e-14
