"contrast","dpi.f","estimate","SE","df","z.ratio","p.value"
"Sham - Low","-8",-0.0134913246016963,0.0127021876544028,Inf,-1.06212606590015,0.537676225410371
"Sham - High","-8",-0.00442096077653458,0.0125873838300427,Inf,-0.351221575207944,0.934267618352304
"Low - High","-8",0.00907036382516168,0.0122531147695223,Inf,0.740249642296893,0.739512597435848
"Sham - Low","14",-0.313697869383871,0.0626461977598942,Inf,-5.00745265636376,1.64995739548868e-06
"Sham - High","14",-0.759809994907096,0.061938442608483,Inf,-12.2671795238686,0
"Low - High","14",-0.446112125523225,0.0546698210196659,Inf,-8.16011681038335,3.68594044175552e-14
"Sham - Low","41",-0.0624521013669829,0.0326275004083494,Inf,-1.91409395710256,0.134657219415717
"Sham - High","41",-0.241322021193728,0.0322000967922528,Inf,-7.49445017978295,2.19380069665931e-13
"Low - High","41",-0.178869919826745,0.0314960206095754,Inf,-5.67912759659437,4.05836798611503e-08
