"","primary_treatment_names","CV_lower","CV_upper","PV_lower","PV_upper","type","metric","value","lower","upper"
"1","Sham Priming",0.430550367687771,1.07766695448934,0.369348164164854,0.594610123542164,"Raw Max Pathogen Load","CV",0.815903441386584,0.430550367687771,1.07766695448934
"2","Sham Priming",0.430550367687771,1.07766695448934,0.369348164164854,0.594610123542164,"Raw Max Pathogen Load","PV",0.548129433760869,0.369348164164854,0.594610123542164
"3","Low Priming",0.191366597038101,1.47130839385404,0.17432475187557,0.748515353977308,"Raw Max Pathogen Load","CV",1.00937841770673,0.191366597038101,1.47130839385404
"4","Low Priming",0.191366597038101,1.47130839385404,0.17432475187557,0.748515353977308,"Raw Max Pathogen Load","PV",0.632231810351122,0.17432475187557,0.748515353977308
"5","High Priming",0,0.538648151604913,0,0.551650071020829,"Raw Max Pathogen Load","CV",0.538648151604913,0,0.538648151604913
"6","High Priming",0,0.538648151604913,0,0.551650071020829,"Raw Max Pathogen Load","PV",0.551650071020829,0,0.551650071020829
"7","Sham Priming",0.0445018536410185,0.0903165078673394,0.0456821619249701,0.0976142134782513,"log10(Max Pathogen Load)","CV",0.0722189257417428,0.0445018536410185,0.0903165078673394
"8","Sham Priming",0.0445018536410185,0.0903165078673394,0.0456821619249701,0.0976142134782513,"log10(Max Pathogen Load)","PV",0.0808722716294616,0.0456821619249701,0.0976142134782513
"9","Low Priming",0.0169960197502848,0.458326209851431,0.0179140201674249,0.35209571144685,"log10(Max Pathogen Load)","CV",0.269239044072617,0.0169960197502848,0.458326209851431
"10","Low Priming",0.0169960197502848,0.458326209851431,0.0179140201674249,0.35209571144685,"log10(Max Pathogen Load)","PV",0.233188419854955,0.0179140201674249,0.35209571144685
"11","High Priming",0,0.12625105363264,0,0.16391295498886,"log10(Max Pathogen Load)","CV",0.12625105363264,0,0.12625105363264
"12","High Priming",0,0.12625105363264,0,0.16391295498886,"log10(Max Pathogen Load)","PV",0.16391295498886,0,0.16391295498886
